Commodity,Unit,Min Price,Max Price,Avg Price,Date
परवर(लोकल),के.जी.,रू ६०.००,रू ७०.००,रू ६५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
चिचिण्डो,के.जी.,रू ४०.००,रू ५०.००,रू ४५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
घिरौला,के.जी.,रू ६०.००,रू ७०.००,रू ६५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
फर्सी पाकेको,के.जी.,रू ३०.००,रू ४०.००,रू ३५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
फर्सी हरियो(लाम्चो),के.जी.,रू ३०.००,रू ४०.००,रू ३५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
हरियो फर्सी(डल्लो),केजी,रू ४०.००,रू ६०.००,रू ५०.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
सलगम,के.जी.,रू ९०.००,रू १००.००,रू ९५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
भिण्डी,के.जी.,रू ९०.००,रू १००.००,रू ९५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
सखरखण्ड,के.जी.,रू १३०.००,रू १५०.००,रू १४०.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
बरेला,के.जी.,रू ४०.००,रू ५०.००,रू ४५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
पिंडालू,के.जी.,रू १००.००,रू १२०.००,रू ११०.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
स्कूस,के.जी.,रू १५.००,रू २०.००,रू १७.६७,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
रायो साग,के.जी.,रू ५०.००,रू ६०.००,रू ५५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
पालूगो साग,के.जी.,रू ५०.००,रू ६०.००,रू ५५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
चमसूरको साग,के.जी.,रू १००.००,रू १५०.००,रू १२७.५०,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
तोरीको साग,के.जी.,रू ७०.००,रू ८०.००,रू ७५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
प्याज हरियो,के.जी.,रू ९०.००,रू १००.००,रू ९५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
बकूला,के.जी.,रू ९०.००,रू १००.००,रू ९५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
तरुल,के.जी.,रू १००.००,रू १२०.००,रू ११०.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
च्याउ(कन्य),के.जी.,रू १८०.००,रू २४०.००,रू २१०.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
च्याउ(डल्ले),के जी,रू २८०.००,रू ३२०.००,रू ३००.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
कुरीलो,के.जी.,रू ८००.००,"रू १,०००.००",रू ९००.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
ब्रोकाउली,के.जी.,रू १५०.००,रू १६०.००,रू १५५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
चुकुन्दर,के.जी.,रू ९०.००,रू १००.००,रू ९५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
रातो बन्दा,के.जी.,रू ७०.००,रू ८०.००,रू ७५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
जिरीको साग,के.जी.,रू १३०.००,रू १५०.००,रू १४०.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
सेलरी,के.जी.,रू ५००.००,रू ६००.००,रू ५५०.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
पार्सले,के.जी.,"रू १,५००.००","रू १,८००.००","रू १,६६६.६७","दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
पुदीना,के.जी.,रू ५००.००,रू ७००.००,रू ६००.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
गान्टे मूला,के.जी.,रू ९०.००,रू १००.००,रू ९५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
इमली,के.जी.,रू १४०.००,रू १६०.००,रू १५०.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
तामा,के.जी.,रू ९०.००,रू १००.००,रू ९५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
तोफु,के.जी.,रू ११०.००,रू १२०.००,रू ११५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
गुन्दुक,के.जी.,रू २५०.००,रू ३००.००,रू २७६.६७,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
स्याउ(झोले),के.जी.,रू २४०.००,रू २६०.००,रू २५०.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
स्याउ(फूजी),के जी,रू २८०.००,रू ३००.००,रू २९०.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
केरा,दर्जन,रू १५०.००,रू १७०.००,रू १६०.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
कागती,के.जी.,रू १६०.००,रू १८०.००,रू १७०.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
अनार,के.जी.,रू ४५०.००,रू ४८०.००,रू ४६६.६७,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
अंगुर(कालो),केजी,रू ३८०.००,रू ४००.००,रू ३९०.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
सुन्तला(नेपाली),के.जी.,रू ९०.००,रू १००.००,रू ९५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
सुन्तला(भारतीय),केजी,रू १००.००,रू १२०.००,रू ११०.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
तरबुजा(हरियो),के.जी.,रू ८०.००,रू १००.००,रू ९०.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
मौसम,के.जी.,रू १५०.००,रू १६०.००,रू १५५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
जुनार,के.जी.,रू ३००.००,रू ३५०.००,रू ३२६.६७,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
भुई कटहर,प्रति गोटा,रू १८०.००,रू २००.००,रू १९०.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
काक्रो(लोकल),के.जी.,रू १२०.००,रू १३०.००,रू १२५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
काक्रो(हाइब्रीड),के जी,रू ७०.००,रू ८०.००,रू ७५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
निबुवा,के.जी.,रू ४०.००,रू ५०.००,रू ४५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
नासपाती(चाइनिज),केजी,रू २३०.००,रू २५०.००,रू २४०.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
मेवा(नेपाली),के.जी.,रू ४०.००,रू ५०.००,रू ४५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
मेवा(भारतीय),केजी,रू १००.००,रू १२०.००,रू ११०.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
अम्बा,के.जी.,रू १५०.००,रू १८०.००,रू १६६.६७,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
लप्सी,के.जी.,रू ४०.००,रू ५०.००,रू ४५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
स्ट्रबेरी भुईऐसेलु,के.जी.,रू ५००.००,रू ६००.००,रू ५५०.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
किवि,केजी,रू २००.००,रू २५०.००,रू २२६.६७,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
शरीफा,के‍.जी,रू २००.००,रू २५०.००,रू २२६.६७,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
आभोकाडो,के.जी,रू २००.००,रू २५०.००,रू २२६.६७,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
अमला,के.जी,रू ६०.००,रू ७०.००,रू ६५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
अदुवा,के.जी.,रू १००.००,रू १५०.००,रू १२६.६७,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
खु्र्सानी सुकेको,के.जी.,रू ४००.००,रू ४३०.००,रू ४१५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
खु्र्सानी हरियो,के.जी.,रू ७०.००,रू ८०.००,रू ७५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
खुर्सानी हरियो(बुलेट),के जी,रू १००.००,रू १२०.००,रू ११०.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
खुर्सानी हरियो(अकबरे),के जी,रू २५०.००,रू २८०.००,रू २६६.६७,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
भेडे खु्र्सानी,के.जी.,रू १३०.००,रू १४०.००,रू १३५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
लसुन हरियो,के.जी.,रू २००.००,रू २५०.००,रू २२६.६७,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
हरियो धनिया,के.जी.,रू ८०.००,रू १००.००,रू ९०.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
लसुन सुकेको चाइनिज,के.जी.,रू ३१०.००,रू ३३०.००,रू ३२०.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
लसुन सुकेको नेपाली,के.जी.,रू ३३०.००,रू ३५०.००,रू ३४०.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
छ्यापी सुकेको,के.जी.,रू १४०.००,रू १६०.००,रू १५०.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
छ्यापी हरियो,के.जी.,रू ३००.००,रू ३६०.००,रू ३३६.६७,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
ताजा माछा(रहु),के जी,रू ३४५.००,रू ३६०.००,रू ३५१.६७,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
ताजा माछा(बचुवा),के जी,रू २५०.००,रू २८०.००,रू २६३.३३,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
ताजा माछा(छडी),के जी,रू २४०.००,रू २८०.००,रू २६०.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
रुख टमाटर,केजी,रू १८०.००,रू २००.००,रू १९०.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
