Commodity,Unit,Min Price,Max Price,Avg Price,Date
गोलभेडा ठूलो(भारतीय),केजी,रू ९०.००,रू १००.००,रू ९५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
गोलभेडा सानो(लोकल),के.जी.,रू ८०.००,रू १००.००,रू ९०.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
गोलभेडा सानो(टनेल),के जी,रू १०५.००,रू १३५.००,रू १२२.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
गोलभेडा सानो(भारतीय),के जी,रू ८०.००,रू ९०.००,रू ८५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
आलु रातो,के.जी.,रू ७५.००,रू ८०.००,रू ७७.६७,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
आलु रातो(भारतीय),के जी,रू ६५.००,रू ७०.००,रू ६७.६७,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
आलु सेतो,के.जी.,रू ६०.००,रू ६३.००,रू ६१.६७,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
गाजर(लोकल),के.जी.,रू १५०.००,रू १६०.००,रू १५५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
गाजर(तराई),केजी,रू ८०.००,रू ९०.००,रू ८५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
बन्दा(लोकल),के.जी.,रू ४०.००,रू ५०.००,रू ४५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
बन्दा(तराई),केजी,रू ५०.००,रू ६०.००,रू ५५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
काउली स्थानिय,के.जी.,रू १००.००,रू १२०.००,रू ११०.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
मूला रातो,के.जी.,रू ३०.००,रू ४०.००,रू ३५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
मूला सेतो(लोकल),के.जी.,रू ४०.००,रू ५०.००,रू ४५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
सेतो मूला(हाइब्रीड),केजी,रू ४०.००,रू ५५.००,रू ४७.५०,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
भन्टा लाम्चो,के.जी.,रू ३५.००,रू ४०.००,रू ३७.६७,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
भन्टा डल्लो,के.जी.,रू ६०.००,रू ७०.००,रू ६५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
बोडी(तने),के.जी.,रू १२०.००,रू १३०.००,रू १२५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
मकै बोडी,केजी,रू ५०.००,रू ६०.००,रू ५५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
मटरकोशा,के.जी.,रू १२०.००,रू १४०.००,रू १३०.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
घिउ सिमी(लोकल),के.जी.,रू ६०.००,रू ७०.००,रू ६५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
घिउ सिमी(हाइब्रीड),केजी,रू ६०.००,रू ७०.००,रू ६५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
घिउ सिमी(राजमा),केजी,रू १००.००,रू १२०.००,रू ११०.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
टाटे सिमी,के.जी.,रू ८०.००,रू ९०.००,रू ८५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
भटमासकोशा,के.जी.,रू ७०.००,रू ८०.००,रू ७५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
तितो करेला,के.जी.,रू ७०.००,रू ८०.००,रू ७५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
लौका,के.जी.,रू ५०.००,रू ६०.००,रू ५५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २६, २०८१"
