Commodity,Unit,Min Price,Max Price,Avg Price,Date
गोलभेडा ठूलो(भारतीय),केजी,रू ९०.००,रू ११०.००,रू ९८.७५,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २५, २०८१"
गोलभेडा सानो(लोकल),के.जी.,रू ८५.००,रू ११०.००,रू ९८.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २५, २०८१"
गोलभेडा सानो(टनेल),के जी,रू ११५.००,रू १३०.००,रू १२२.५०,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २५, २०८१"
गोलभेडा सानो(भारतीय),के जी,रू ८५.००,रू १००.००,रू ९२.५०,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २५, २०८१"
आलु रातो,के.जी.,रू ७५.००,रू ८०.००,रू ७७.६७,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २५, २०८१"
आलु रातो(भारतीय),के जी,रू ६२.००,रू ६४.००,रू ६३.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २५, २०८१"
आलु सेतो,के.जी.,रू ६४.००,रू ६६.००,रू ६५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २५, २०८१"
प्याज सुकेको (भारतीय),के.जी.,रू १२२.००,रू १२५.००,रू १२३.६७,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २५, २०८१"
गाजर(लोकल),के.जी.,रू १२०.००,रू १४०.००,रू १३०.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २५, २०८१"
गाजर(तराई),केजी,रू ७०.००,रू ९०.००,रू ८०.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २५, २०८१"
बन्दा(लोकल),के.जी.,रू ४०.००,रू ५०.००,रू ४५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २५, २०८१"
बन्दा(तराई),केजी,रू ५०.००,रू ६०.००,रू ५५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २५, २०८१"
काउली स्थानिय,के.जी.,रू १२०.००,रू १४०.००,रू १२८.७५,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २५, २०८१"
मूला रातो,के.जी.,रू ३०.००,रू ४०.००,रू ३५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २५, २०८१"
